jogo,data,fase,grupo,rodadaGrupo,equipe1,equipe2,xg1_modelo,xg2_modelo,placar_previsto,gols1_previsto,gols2_previsto,vencedor_previsto,prob_vitoria_equipe1,prob_empate,prob_vitoria_equipe2,prob_classificacao_equipe1,prob_classificacao_equipe2,prob_penaltis_equipe1_modelo,vencedor_classificacao_previsto,confianca_modelo,peso_rede_neural,validacoes_anteriores_usadas,interacoes_monte_carlo,feature_rating_diff,feature_base_rating_diff,feature_attack_vs_defense,feature_defense_vs_attack,feature_midfield_diff,feature_goalkeeper_diff,feature_experience_diff,feature_league_diff,feature_player_quality_diff,feature_intensity_diff,feature_possession_diff,feature_pressing_diff,feature_momentum_diff,feature_performance_memory_diff,feature_offensive_form_diff,feature_defensive_form_diff,feature_offensive_form_equipe1,feature_offensive_form_equipe2,feature_defensive_form_equipe1,feature_defensive_form_equipe2,feature_schedule_strength_diff,feature_opponent_adjusted_points_diff,feature_goals_for_rate_diff,feature_goals_against_rate_diff,feature_opponent_weighted_goals_for_diff,feature_opponent_weighted_goals_against_diff,feature_weighted_goals_for_rate_diff,feature_adjusted_goals_against_rate_diff,feature_weighted_goals_for_rate_equipe1,feature_weighted_goals_for_rate_equipe2,feature_adjusted_goals_against_rate_equipe1,feature_adjusted_goals_against_rate_equipe2,feature_rest_diff,feature_host_diff,feature_knockout,feature_round_group,placar_regular_previsto,decisao_penaltis,placar_penaltis,prob_penaltis_equipe1,vencedor_pos_penaltis,criterio_vencedor,status_previsao,fonte_previsao,usa_desempenho_copa,origem_confronto,precisa_recalculo,possui_real,placar_real,vencedor_real
15,2026-06-15,Fase de grupos,G,1.0,Irã,Nova Zelândia,0.955,0.943,0-1,0,1,Nova Zelândia,0.3396,0.3177,0.3427,,,,,baixa,0.0,14,12000,-0.95,-0.95,-0.57,0.89,0.44,0.64,0.75,-22.6364,-0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-2,Empate
16,2026-06-15,Fase de grupos,G,1.0,Bélgica,Egito,1.303,0.767,1-0,1,0,Bélgica,0.493,0.2853,0.2218,,,,,média,0.0,15,12000,12.56,12.56,0.59,0.82,1.85,1.08,0.58,19.0909,14.7072,-1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Empate
17,2026-06-16,Fase de grupos,I,1.0,França,Senegal,1.055,1.093,1-2,1,2,Senegal,0.3416,0.288,0.3704,,,,,baixa,0.0,16,12000,-1.62,-1.62,0.18,-0.12,-0.34,-0.1,-0.52,0.2727,-1.3667,0.0,0.0,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-1,França
18,2026-06-16,Fase de grupos,I,1.0,Iraque,Noruega,0.794,1.236,0-1,0,1,Noruega,0.2411,0.2959,0.463,,,,,baixa,0.0,17,12000,-10.7,-10.7,-0.76,-0.32,-0.9,-0.54,0.07,-25.7273,-12.7372,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-4,Noruega
19,2026-06-16,Fase de grupos,J,1.0,Argentina,Argélia,1.124,0.887,1-0,1,0,Argentina,0.416,0.3048,0.2792,,,,,baixa,0.0,18,12000,6.67,6.67,-0.25,0.61,1.19,1.2,1.04,4.9091,8.1656,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-0,Argentina
20,2026-06-16,Fase de grupos,J,1.0,Áustria,Jordânia,1.21,0.761,1-0,1,0,Áustria,0.4656,0.3047,0.2298,,,,,baixa,0.0,19,12000,11.4,11.4,0.04,0.95,1.39,-0.13,-0.12,29.2727,12.5694,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-1,Áustria
21,2026-06-17,Fase de grupos,L,1.0,Gana,Panamá,0.757,1.215,0-1,0,1,Panamá,0.2349,0.296,0.4691,,,,,baixa,0.0,20,12000,-6.61,-6.61,-1.55,-0.61,-1.67,-0.9,-2.16,21.4545,-7.5128,-1.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-0,Gana
22,2026-06-17,Fase de grupos,L,1.0,Inglaterra,Croácia,1.025,1.065,1-2,1,2,Croácia,0.3384,0.3028,0.3588,,,,,baixa,0.0,21,12000,-0.27,-0.27,-0.25,-0.09,-0.51,0.43,-0.71,2.8182,0.92,3.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,4-2,Inglaterra
23,2026-06-17,Fase de grupos,K,1.0,Portugal,RD Congo,1.257,0.776,1-0,1,0,Portugal,0.4763,0.2888,0.2349,,,,,média,0.0,22,12000,8.59,8.59,0.57,1.2,1.73,0.6,0.83,2.5455,9.0517,0.0,4.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Empate
24,2026-06-17,Fase de grupos,K,1.0,Uzbequistão,Colômbia,0.715,1.249,0-1,0,1,Colômbia,0.2077,0.2988,0.4934,,,,,média,0.0,23,12000,-11.27,-11.27,-1.37,-0.37,-0.52,-1.36,-0.19,-26.0,-10.8011,-3.0,-2.8,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-3,Colômbia
25,2026-06-18,Fase de grupos,A,2.0,Tchéquia,África do Sul,1.387,1.049,2-1,2,1,Tchéquia,0.4528,0.2637,0.2835,,,,,baixa,0.0,24,12000,5.7962,5.73,0.59,0.43,-0.98,-0.23,0.68,15.5455,8.3422,0.0,0.0,0.0,-0.029,0.0,0.2157,-0.045,0.0022,-0.2136,-0.2336,-0.1886,-0.04,0.0,1.0,0.0,1.0991,-0.008,1.0991,-0.008,1.0991,0.0,1.8196,1.8276,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Empate
26,2026-06-18,Fase de grupos,B,2.0,Suíça,Bósnia e Herzegovina,1.305,0.883,1-0,1,0,Suíça,0.4607,0.2861,0.2532,,,,,baixa,0.0,25,12000,12.5758,12.85,0.63,1.55,1.86,0.66,1.35,3.6364,15.3778,1.8,1.0,2.0,-0.046,0.0,-0.1353,-0.1142,-0.0617,0.0736,-0.0262,0.088,-4.18,-0.0697,0.0,0.0,-0.0619,0.0501,-0.0619,0.0501,1.0807,1.1427,0.9253,0.8752,-1.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,4-1,Suíça
27,2026-06-18,Fase de grupos,B,2.0,Canadá,Catar,1.038,1.346,1-2,1,2,Catar,0.2792,0.2765,0.4442,,,,,baixa,0.0,26,12000,3.9104,4.18,0.34,-0.08,0.51,-0.17,-1.08,25.5455,1.2189,4.0,-3.0,3.0,-0.0466,0.0,-0.1069,-0.1348,-0.0735,0.0333,-0.0674,0.0673,-12.85,-0.2142,0.0,0.0,-0.2236,0.1986,-0.2236,0.1986,0.9551,1.1787,1.0471,0.8484,1.0,0.0,0.0,2.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,6-0,Canadá
28,2026-06-18,Fase de grupos,A,2.0,México,Coreia do Sul,1.107,1.064,2-1,2,1,México,0.3642,0.295,0.3408,,,,,baixa,0.0,27,12000,0.0712,0.04,0.1,1.51,-1.01,-0.27,0.52,-3.7273,0.2283,0.0,0.0,0.0,-0.0297,0.0,-0.0669,0.1917,0.2007,0.2676,0.1898,-0.0019,-5.73,-0.2865,0.0,-1.0,-0.1392,-0.9596,-0.1392,-0.9596,1.9449,2.0841,0.0,0.9596,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-0,México
29,2026-06-19,Fase de grupos,C,2.0,Brasil,Haiti,1.279,0.954,1-0,1,0,Brasil,0.4343,0.2825,0.2832,,,,,baixa,0.0,28,12000,8.6774,8.53,0.48,0.55,2.06,-0.3,0.79,8.7273,9.0122,0.0,5.0,4.2,0.3337,0.0,0.2055,-0.0961,-0.0465,-0.252,-0.0325,0.0636,-5.08,1.1527,1.0,0.0,1.052,0.075,1.052,0.075,1.052,0.0,0.9505,0.8755,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-0,Brasil
30,2026-06-19,Fase de grupos,C,2.0,Escócia,Marrocos,1.139,0.908,1-0,1,0,Escócia,0.4113,0.3016,0.2872,,,,,baixa,0.0,29,12000,5.3504,5.08,-0.01,1.31,1.36,0.2,0.68,2.9091,4.5011,0.0,-1.0,0.0,0.7064,0.0,-0.0962,0.174,-0.0568,0.0394,0.2249,0.051,-8.53,2.0195,0.0,-1.0,-0.1327,-0.8679,-0.1327,-0.8679,1.0195,1.1522,0.0,0.8679,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-1,Marrocos
31,2026-06-19,Fase de grupos,D,2.0,Turquia,Paraguai,1.238,1.069,2-1,2,1,Turquia,0.4075,0.2717,0.3208,,,,,baixa,0.0,30,12000,8.0685,8.35,-0.01,2.06,1.15,1.5,0.73,4.9091,7.2661,0.0,2.8,1.8,-0.0585,0.0,-0.4573,0.2322,-0.3435,0.1138,-0.3278,-0.56,-8.41,0.0,-1.0,-2.0,-1.1992,-1.4166,-1.1992,-1.4166,0.0,1.1992,1.9191,3.3357,-1.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-1,Paraguai
32,2026-06-19,Fase de grupos,D,2.0,Estados Unidos,Austrália,1.304,1.129,2-1,2,1,Estados Unidos,0.401,0.2767,0.3223,,,,,baixa,0.0,31,12000,8.0734,8.41,0.96,1.26,1.44,0.0,0.58,2.6364,9.3444,0.0,2.8,3.0,-0.0592,0.0,0.172,-0.4708,0.56,0.388,-0.0964,0.3743,-8.35,-0.4175,2.0,1.0,1.665,1.0161,1.665,1.0161,3.9367,2.2717,1.0161,0.0,1.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-0,Estados Unidos
33,2026-06-20,Fase de grupos,E,2.0,Alemanha,Costa do Marfim,1.201,1.009,2-1,2,1,Alemanha,0.4037,0.2862,0.3101,,,,,baixa,0.0,32,12000,5.6257,5.51,-0.38,1.0,0.22,1.0,0.38,2.0909,7.2317,0.0,3.0,1.2,-0.0235,0.0,0.5591,-0.3356,0.56,0.0009,-0.067,0.2686,-2.29,-0.1145,6.0,1.0,6.0477,0.9893,6.0477,0.9893,7.0758,1.0281,0.9893,0.0,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-1,Alemanha
34,2026-06-20,Fase de grupos,E,2.0,Equador,Curaçao,1.213,1.12,2-1,2,1,Equador,0.3846,0.2742,0.3412,,,,,baixa,0.0,33,12000,2.3924,2.29,-0.06,0.87,-1.2,-1.0,0.45,2.6364,4.4556,4.0,3.8,5.0,-0.0227,0.0,-0.3562,0.5592,-0.2798,0.0764,-0.0008,-0.56,-5.51,0.0,-1.0,-6.0,-1.1272,-5.2766,-1.1272,-5.2766,0.0,1.1272,0.9336,6.2101,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-0,Empate
35,2026-06-20,Fase de grupos,F,2.0,Países Baixos,Suécia,1.563,1.019,2-1,2,1,Países Baixos,0.5023,0.2495,0.2483,,,,,média,0.0,34,12000,7.6606,8.35,0.85,1.37,0.57,0.4,1.06,0.1818,10.0056,1.8,1.2,1.8,-0.7476,0.0,-0.2866,-0.2524,0.2734,0.56,-0.2815,-0.0291,9.8,-1.9113,-3.0,1.0,-2.4927,0.7385,-2.4927,0.7385,2.224,4.7168,1.7985,1.0601,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,5-1,Países Baixos
36,2026-06-20,Fase de grupos,F,2.0,Tunísia,Japão,0.73,1.824,0-1,0,1,Japão,0.1436,0.2167,0.6398,,,,,alta,0.0,35,12000,-10.4481,-9.8,-1.17,-0.35,-1.99,-0.46,-0.68,-4.2727,-10.9872,-1.2,-3.8,-2.8,-0.3742,0.0,-0.3361,-0.3488,0.0282,0.3644,-0.56,-0.2112,-8.35,-1.2403,-1.0,3.0,-1.2988,3.1398,-1.2988,3.1398,1.0292,2.328,4.858,1.7182,0.0,0.0,0.0,2.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-4,Japão
37,2026-06-21,Fase de grupos,H,2.0,Uruguai,Cabo Verde,0.924,0.978,0-1,0,1,Cabo Verde,0.3244,0.3237,0.3518,,,,,baixa,0.0,36,12000,6.9131,7.14,-0.33,1.39,0.84,0.7,0.25,9.1818,7.355,1.0,1.0,3.0,-0.0369,0.0,0.2437,-0.4535,-0.0235,-0.2672,-0.0268,0.4267,-9.24,-0.154,1.0,1.0,1.036,0.9653,1.036,0.9653,1.036,0.0,0.9653,0.0,0.0,0.0,0.0,2.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-2,Empate
38,2026-06-21,Fase de grupos,H,2.0,Espanha,Arábia Saudita,1.18,1.108,2-1,2,1,Espanha,0.377,0.2853,0.3377,,,,,baixa,0.0,37,12000,9.0268,9.24,0.67,-0.24,1.71,0.6,-0.48,25.6364,9.4739,0.0,4.0,1.2,-0.0385,0.0,-0.3834,0.1968,-0.3534,0.03,0.2213,0.0245,-7.14,-0.119,-1.0,-1.0,-1.0812,-0.9249,-1.0812,-0.9249,0.0,1.0812,0.0,0.9249,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,4-0,Espanha
39,2026-06-21,Fase de grupos,G,2.0,Bélgica,Irã,1.354,0.994,2-1,2,1,Bélgica,0.4486,0.2739,0.2775,,,,,baixa,0.0,38,12000,10.898,11.07,-0.09,0.99,0.85,0.46,-0.17,33.3636,11.7656,0.0,4.0,2.0,-0.0314,0.0,-0.3779,0.2283,-0.0838,0.2941,-0.0661,-0.2944,-2.44,-0.0407,-1.0,-1.0,-1.023,-0.9769,-1.023,-0.9769,0.9875,2.0105,1.0127,1.9896,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-0,Empate
